LEAD_ID,RAW_INDUSTRY,EMPLOYEE_COUNT,ANNUAL_REVENUE,CREATED_DATE,total_engagements,unique_actions,days_since_nonconv,lead_score,lead_age
1,Retail,3863,61.14,02-06-2025,1,1,999,0.99,12
2,Finance,2786,25.91,16-02-2025,2,1,38,0.01,118
3,Healthcare,1033,10.34,19-05-2025,3,2,66,0.10,26
4,Technology,2232,52.35,31-01-2025,4,2,112,0.99,134
5,Retail,1484,35.86,19-01-2025,2,1,54,0.02,146
6,Manufacturing,4448,55.84,27-01-2025,1,1,999,1.00,138
7,Finance,4391,43.53,14-03-2025,1,1,999,1.00,92
8,Technology,4861,82.44,28-03-2025,4,3,47,1.00,78
9,Retail,2086,65.38,30-05-2025,1,1,59,0.01,15
10,Technology,1838,59.45,02-04-2025,3,3,158,1.00,73
11,Technology,1335,40.6,25-03-2025,3,2,142,1.00,81
12,Manufacturing,615,13.97,11-01-2025,3,2,140,0.99,154
13,Technology,1193,37.3,19-04-2025,1,1,999,1.00,56
14,Manufacturing,2263,36.87,15-04-2025,3,2,153,0.99,60
15,Retail,3929,54.46,25-02-2025,4,3,54,1.00,109
16,Healthcare,4915,64.48,26-02-2025,4,2,46,0.96,108
17,Healthcare,3115,25.15,12-03-2025,4,2,35,0.95,94
18,Technology,3090,84.23,11-05-2025,4,3,88,1.00,34
19,Healthcare,1614,66.05,22-03-2025,3,1,999,1.00,84
20,Healthcare,2840,25.65,09-04-2025,5,3,64,1.00,66
21,Manufacturing,1066,81.28,09-03-2025,3,2,29,0.97,97
22,Manufacturing,4611,40.03,06-05-2025,5,4,30,1.00,39
23,Retail,887,98.9,07-04-2025,2,1,999,1.00,68
24,Healthcare,3484,79.91,11-01-2025,3,2,21,0.97,154
25,Healthcare,4915,64.48,22-02-2025,5,3,55,1.00,112
26,Technology,552,3.19,24-03-2025,1,1,24,0.04,82
27,Manufacturing,3520,9.01,29-04-2025,5,2,9,0.95,46
